"","Barn [kW]","Dishwasher [kW]","Fridge [kW]","Furnace 1 [kW]","Furnace 2 [kW]","Garage door [kW]","Home office [kW]","Kitchen 12 [kW]","Kitchen 14 [kW]","Kitchen 38 [kW]","Living room [kW]","Microwave [kW]","Well [kW]","Wine cellar [kW]","dewPoint","gen [kW]","humidity","precipIntensity","precipProbability","pressure","temperature","use [kW]","visibility","windBearing","windSpeed"
"Living room [kW]",0.010593606464523666,0.0024506535938840315,0.05767032750127298,0.0628943584816561,0.02358585877744478,0.0059031446305125804,-0.04027797823312118,0.0398168385951348,0.048510176732094554,0.008360191118932747,1.0,0.06932841689714646,0.1179444789372959,0.025598088868103715,-0.03609260867955624,-0.036386998649814054,-0.0040952685617533175,-0.009862344031858306,-0.018992393972535323,0.01199667725044996,-0.05062472572178932,0.2600459690667504,-0.011889058677443273,0.012933363594473979,-0.010486129910604353
"Microwave [kW]",-0.0068450045103918946,0.0005459081654151632,0.03369343789438755,-0.0010129161833872709,0.013589297402798784,0.003829202498930065,-0.004176957623247229,0.024128456142090273,0.003441406558015549,0.00357771327641791,0.06932841689714646,1.0,-0.00771194720882255,0.005350952846946405,0.0018634588278369512,-0.005781710617363583,0.02727358964946485,0.028534529114703448,0.016998972953049866,-0.004766376586538096,-0.0025948817279646294,0.22645843864706205,-0.029008376685977773,-0.004879868275773528,-0.0126618861631572
"Well [kW]",-0.003971842412687316,0.024389144645668215,0.012209515628035749,0.008903494753025872,-0.004351410355301343,-0.008645238449406473,-0.013016273071502622,0.0005810849552756601,0.00979081910971896,-0.008017078751299391,0.1179444789372959,-0.00771194720882255,1.0,0.04171639521031615,-0.02852535151442099,-0.009137160259921288,-0.00573941354972857,0.0009118985562116479,-0.003605362646291106,0.016459205735589566,-0.020111881770562043,0.35352232144128826,0.009770473362866485,-0.008878981860651837,-0.0026058062133767312
"Wine cellar [kW]",-0.00019365555360056097,-0.008890074456077028,0.05809655812991821,-0.09584924781759657,-0.04241366645548003,0.010541366486056645,0.0032540231308967405,0.003295501667590878,-0.014086061825053389,-0.021082954714597535,0.025598088868103715,0.005350952846946405,0.04171639521031615,1.0,0.23701870026444602,0.05405296264603501,0.044169258472922156,0.018604872683336746,0.0012880474178929317,0.016321366533607717,0.23009156975666703,0.09203190307933355,0.01788533841955483,-0.02994241283507677,-0.05032515772367766
"dewPoint",-0.025076695336600615,-0.017743493408135677,0.1065893590463387,-0.26183806536555393,-0.18964715292444814,0.0073815237114316454,0.005993749047641656,-0.01238805089723848,-0.022632073929950564,-0.04130192751736141,-0.03609260867955624,0.0018634588278369512,-0.02852535151442099,0.23701870026444602,1.0,0.08461570010464277,0.2986089055575374,0.10508531965479322,0.1449208644904356,-0.20962137104337944,0.7446186067473675,-0.15113123313049534,-0.0727944806071401,-0.11933558161747028,-0.19165028830219838
"gen [kW]",0.025773086575950815,0.026723906608801123,-0.00824376646888357,-0.020889070119438292,-0.0939957022541403,0.03626849788467459,-0.07272399497733904,7.175266232277533e-05,0.0017297057506597462,0.007424348301264891,-0.036386998649814054,-0.005781710617363583,-0.009137160259921288,0.05405296264603501,0.08461570010464277,1.0,0.01183644019184683,0.02832604863874551,0.0467145339268874,0.0038088063523291503,0.07370944943994706,0.0030839156726060837,-0.014121103553548885,0.0030309805992856,-0.05260380890788051
"humidity",0.009066477656812413,0.0031471125269502574,0.028866179022378407,-0.03207041019405124,-0.03493380740981313,0.016704057998345397,-0.0023569497491110823,0.028111937454401287,-0.010146290809597914,-0.020675270735454724,-0.0040952685617533175,0.02727358964946485,-0.00573941354972857,0.044169258472922156,0.2986089055575374,0.01183644019184683,1.0,0.20302466706285552,0.2710062122802199,-0.11254540510034967,-0.07144755592463685,-0.004849015387378471,-0.4193902619803949,-0.19793167825317753,-0.3743371913685933
"precipIntensity",-0.005745968884939471,0.013127331145566558,0.027976722259359155,-0.013324311520538755,0.011986029656280081,-0.010686139455546036,-0.024641200740248188,-0.014329791194317125,-0.008726424434869089,-0.021440090457251457,-0.009862344031858306,0.028534529114703448,0.0009118985562116479,0.018604872683336746,0.10508531965479322,0.02832604863874551,0.20302466706285552,1.0,0.6599682768101343,-0.14685275543257276,0.03422024557875072,0.008821599330898612,-0.33866232249416256,-0.0876581418807717,-0.006336221721422061
"precipProbability",-0.0036466323293920977,0.007733686298099711,0.008763583639101574,-0.007981670232095473,0.007658069143058023,-0.013891073392391713,-0.028139878217752802,-0.012064110990472608,-0.008982838265931804,-0.01594178490857975,-0.018992393972535323,0.016998972953049866,-0.003605362646291106,0.0012880474178929317,0.1449208644904356,0.0467145339268874,0.2710062122802199,0.6599682768101343,1.0,-0.2021543080641374,0.03579565309838184,0.05651991796287309,-0.41211469253406224,-0.12292048335330043,-0.027254590982565427
"pressure",0.005293285816881698,0.0006239076320317592,-0.018645084219698592,0.002212660518113415,-0.001879578684977025,0.01558649984693411,0.026160361733736627,0.011910379150199189,0.009495077733357194,-0.011627743082570988,0.01199667725044996,-0.004766376586538096,0.016459205735589566,0.016321366533607717,-0.20962137104337944,0.0038088063523291503,-0.11254540510034967,-0.14685275543257276,-0.2021543080641374,1.0,-0.16727817190394498,0.017470078591091242,0.13516321734872538,-0.12129865860178055,-0.2004095416199454
"temperature",-0.019809887454157973,-0.011043750229898185,0.09023293918623436,-0.2603230281466179,-0.19207318096160253,0.003949567044283301,0.00908023653364439,-0.014946914111038571,-0.02544260644651998,-0.03546410057080635,-0.05062472572178932,-0.0025948817279646294,-0.020111881770562043,0.23009156975666703,0.7446186067473675,0.07370944943994706,-0.07144755592463685,0.03422024557875072,0.03579565309838184,-0.16727817190394498,1.0,-0.15249575062986948,0.0946105709745386,-0.044982368233545206,-0.043345012359211205
"use [kW]",0.3841587057727295,0.4136945034520755,0.1800090837746326,0.4264808323492624,0.44768188080949245,0.010391667234776624,0.21346905731859842,0.08404225623774267,0.17548211023948224,0.05764925391302219,0.2600459690667504,0.22645843864706205,0.35352232144128826,0.09203190307933355,-0.15113123313049534,0.0030839156726060837,-0.004849015387378471,0.008821599330898612,0.05651991796287309,0.017470078591091242,-0.15249575062986948,1.0,-0.02255067300851792,0.018741152455006755,0.01964424959650667
"visibility",3.840731061734594e-05,-0.012885780251093399,0.0071273453892673365,-0.03950040175743666,-0.012038241394098172,0.0007117516610306363,0.011046701331679157,-0.02835245499159609,0.017352415007522676,0.00797380270698796,-0.011889058677443273,-0.029008376685977773,0.009770473362866485,0.01788533841955483,-0.0727944806071401,-0.014121103553548885,-0.4193902619803949,-0.33866232249416256,-0.41211469253406224,0.13516321734872538,0.0946105709745386,-0.02255067300851792,1.0,0.149508414128613,0.15451171509979206
"windBearing",0.007757412524891224,0.010749714379542053,-0.017710170330583145,0.02905358351785904,0.009178454456887634,-0.0028025859549895555,0.011471128153831976,-0.01342582104379755,0.00945940416837516,0.0007530834834049814,0.012933363594473979,-0.004879868275773528,-0.008878981860651837,-0.02994241283507677,-0.11933558161747028,0.0030309805992856,-0.19793167825317753,-0.0876581418807717,-0.12292048335330043,-0.12129865860178055,-0.044982368233545206,0.018741152455006755,0.149508414128613,1.0,0.18737740931531022
"windSpeed",-0.010819457180014576,-0.0016841838149728422,-0.01614132641119782,0.0680414477139018,0.05793111875607807,-0.016102562883961512,-0.01704432433816295,-0.024950073418487304,-0.002194614560328275,0.017833677066757918,-0.010486129910604353,-0.0126618861631572,-0.0026058062133767312,-0.05032515772367766,-0.19165028830219838,-0.05260380890788051,-0.3743371913685933,-0.006336221721422061,-0.027254590982565427,-0.2004095416199454,-0.043345012359211205,0.01964424959650667,0.15451171509979206,0.18737740931531022,1.0
